sample_id	file	total_mass	internal_scale	external_scale
q1_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/10DAF_r1/abundances.cxb	2.42713e+07	1.25766	1
q2_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/10DAF_r2/abundances.cxb	2.36804e+07	1.21907	1
q3_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/15DAFembry1/abundances.cxb	2.01374e+07	1.44997	1
q4_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/15DAFembry2/abundances.cxb	1.02538e+07	0.67436	1
q5_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/20DAF1mmembry1/abundances.cxb	2.81602e+07	2.19526	1
q6_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/20DAF1mmembry2/abundances.cxb	1.7593e+07	1.32752	1
q7_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/20DAFSoftembry1/abundances.cxb	1.6297e+07	0.961145	1
q8_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/20DAFSoftembry2/abundances.cxb	1.72453e+07	1.02208	1
q9_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/female_3mm_r1/abundances.cxb	2.36469e+07	1.24452	1
q10_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/female_3mm_r2/abundances.cxb	2.43322e+07	1.29884	1
q11_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/Male_thalli_r1/abundances.cxb	1.92958e+07	0.789813	1
q12_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/Male_thalli_r2/abundances.cxb	1.90259e+07	0.765789	1
q13_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/Mp_female/abundances.cxb	1.4626e+07	1.01161	1
q14_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/Mp_thalli/abundances.cxb	1.71842e+07	0.860455	1
q15_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/Mp_WT_sperm/abundances.cxb	1.0823e+07	0.12538	1
q16_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/spore1/abundances.cxb	1.86909e+07	0.948729	1
q17_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/spore2/abundances.cxb	1.89277e+07	0.996583	1
q18_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/young_male_reprod_r1/abundances.cxb	2.02088e+07	1.25191	1
q19_0	/lustre/scratch/users/elin.axelsson/Marchantia_csf/output//cuffquant/young_male_reprod_r2/abundances.cxb	2.34807e+07	1.40843	1
