"","24190","24191","24192","amean"
"ATMG00010.1",0,0,0,0
"ATMG00030.1",1234.23,1024.27,1046.91,1101.80333333333
"ATMG00040.1",0,0,0,0
"ATMG00050.1",0,0,0,0
"ATMG00060.1",1.90252,1.03528,1.88799,1.60859666666667
"ATMG00070.1",4.4656,4.17956,3.88034,4.17516666666667
"ATMG00080.1",2.25203,2.09474,2.28447,2.21041333333333
"ATMG00090.1",1.38068,1.33873,1.22425,1.31455333333333
"ATMG00100.1",0,0,0,0
"ATMG00110.1",0.917893,0.621557,1.46294,1.00079666666667
"ATMG00120.1",0,0,0,0
"ATMG00130.1",0,0,0,0
"ATMG00140.1",0,0.112508,0,0.0375026666666667
"ATMG00150.1",0,0,0,0
"ATMG00160.1",5.87548,6.59449,7.02938,6.49978333333333
"ATMG00170.1",0,0,0,0
"ATMG00180.1",2.70283,2.65989,2.01694,2.45988666666667
"ATMG00190.1",0,0,0,0
"ATMG00200.1",0,0.0954582,0,0.0318194
"ATMG00210.1",0,0,0,0
"ATMG00220.1",0,2.66355,0,0.88785
"ATMG00230.1",0,0,0,0
"ATMG00240.1",0,0,0,0
"ATMG00250.1",0,0,0,0
"ATMG00260.1",0,0,0,0
"ATMG00270.1",0.488968,0.325438,0.682942,0.499116
"ATMG00280.1",0,0,0,0
"ATMG00285.1",1.038,0.661042,0.328376,0.675806
"ATMG00290.1",0.229985,0,0.00789247,0.07929249
"ATMG00300.1",0,0,0,0
"ATMG00310.1",0,0,0,0
"ATMG00320.1",0,0,0,0
"ATMG00330.1",0,0,0.742535,0.247511666666667
"ATMG00340.1",0,0,0,0
"ATMG00350.1",0,0,0,0
"ATMG00360.1",0,0,0,0
"ATMG00370.1",0,0,0,0
"ATMG00380.1",0,0,0,0
"ATMG00390.1",0,0,0,0
"ATMG00400.1",0.160695,0.166776,0.105064,0.144178333333333
"ATMG00410.1",0.785247,0.889704,0.259928,0.644959666666667
"ATMG00420.1",0,0,0,0
"ATMG00430.1",0,0,0,0
"ATMG00440.1",0,0,0,0
"ATMG00450.1",0,0,0,0
"ATMG00460.1",0,0,1.09151,0.363836666666667
"ATMG00470.1",0,0,0,0
"ATMG00480.1",1.44589,0.539539,1.25146,1.078963
"ATMG00490.1",0,0,0,0
"ATMG00500.1",0,0,0,0
"ATMG00510.1",1.99148,1.66469,1.41051,1.68889333333333
"ATMG00513.1",4.70494,3.2806,5.28041,4.42198333333333
